collective,op,data_size,algorithm,protocol,channel_id,flow_id,src,dest,flow_size,chunk_id,chunk_count,conn_type,parent_flow_ids,prev_flow_ids
DP_0_0_0_4_4194304,4,4194304,1,0,0,0,0,1,524288,0,1,RING,,1;2;3;4;5;6;7
DP_0_0_0_4_4194304,4,4194304,1,0,0,1,0,2,524288,0,1,RING,,1;2;3;4;5;6;7
DP_0_0_0_4_4194304,4,4194304,1,0,0,2,0,3,524288,0,1,RING,,1;2;3;4;5;6;7
DP_0_0_0_4_4194304,4,4194304,1,0,0,3,0,4,524288,0,1,RING,,1;2;3;4;5;6;7
DP_0_0_0_4_4194304,4,4194304,1,0,0,4,0,5,524288,0,1,RING,,1;2;3;4;5;6;7
DP_0_0_0_4_4194304,4,4194304,1,0,0,5,0,6,524288,0,1,RING,,1;2;3;4;5;6;7
DP_0_0_0_4_4194304,4,4194304,1,0,0,6,0,7,524288,0,1,RING,,1;2;3;4;5;6;7
DP_0_0_0_4_4194304,4,4194304,1,0,0,7,1,0,524288,0,1,RING,,0;2;3;4;5;6;7
DP_0_0_0_4_4194304,4,4194304,1,0,0,8,1,2,524288,0,1,RING,,0;2;3;4;5;6;7
DP_0_0_0_4_4194304,4,4194304,1,0,0,9,1,3,524288,0,1,RING,,0;2;3;4;5;6;7
DP_0_0_0_4_4194304,4,4194304,1,0,0,10,1,4,524288,0,1,RING,,0;2;3;4;5;6;7
DP_0_0_0_4_4194304,4,4194304,1,0,0,11,1,5,524288,0,1,RING,,0;2;3;4;5;6;7
DP_0_0_0_4_4194304,4,4194304,1,0,0,12,1,6,524288,0,1,RING,,0;2;3;4;5;6;7
DP_0_0_0_4_4194304,4,4194304,1,0,0,13,1,7,524288,0,1,RING,,0;2;3;4;5;6;7
DP_0_0_0_4_4194304,4,4194304,1,0,0,14,2,0,524288,0,1,RING,,0;1;3;4;5;6;7
DP_0_0_0_4_4194304,4,4194304,1,0,0,15,2,1,524288,0,1,RING,,0;1;3;4;5;6;7
DP_0_0_0_4_4194304,4,4194304,1,0,0,16,2,3,524288,0,1,RING,,0;1;3;4;5;6;7
DP_0_0_0_4_4194304,4,4194304,1,0,0,17,2,4,524288,0,1,RING,,0;1;3;4;5;6;7
DP_0_0_0_4_4194304,4,4194304,1,0,0,18,2,5,524288,0,1,RING,,0;1;3;4;5;6;7
DP_0_0_0_4_4194304,4,4194304,1,0,0,19,2,6,524288,0,1,RING,,0;1;3;4;5;6;7
DP_0_0_0_4_4194304,4,4194304,1,0,0,20,2,7,524288,0,1,RING,,0;1;3;4;5;6;7
DP_0_0_0_4_4194304,4,4194304,1,0,0,21,3,0,524288,0,1,RING,,0;1;2;4;5;6;7
DP_0_0_0_4_4194304,4,4194304,1,0,0,22,3,1,524288,0,1,RING,,0;1;2;4;5;6;7
DP_0_0_0_4_4194304,4,4194304,1,0,0,23,3,2,524288,0,1,RING,,0;1;2;4;5;6;7
DP_0_0_0_4_4194304,4,4194304,1,0,0,24,3,4,524288,0,1,RING,,0;1;2;4;5;6;7
DP_0_0_0_4_4194304,4,4194304,1,0,0,25,3,5,524288,0,1,RING,,0;1;2;4;5;6;7
DP_0_0_0_4_4194304,4,4194304,1,0,0,26,3,6,524288,0,1,RING,,0;1;2;4;5;6;7
DP_0_0_0_4_4194304,4,4194304,1,0,0,27,3,7,524288,0,1,RING,,0;1;2;4;5;6;7
DP_0_0_0_4_4194304,4,4194304,1,0,0,28,4,0,524288,0,1,RING,,0;1;2;3;5;6;7
DP_0_0_0_4_4194304,4,4194304,1,0,0,29,4,1,524288,0,1,RING,,0;1;2;3;5;6;7
DP_0_0_0_4_4194304,4,4194304,1,0,0,30,4,2,524288,0,1,RING,,0;1;2;3;5;6;7
DP_0_0_0_4_4194304,4,4194304,1,0,0,31,4,3,524288,0,1,RING,,0;1;2;3;5;6;7
DP_0_0_0_4_4194304,4,4194304,1,0,0,32,4,5,524288,0,1,RING,,0;1;2;3;5;6;7
DP_0_0_0_4_4194304,4,4194304,1,0,0,33,4,6,524288,0,1,RING,,0;1;2;3;5;6;7
DP_0_0_0_4_4194304,4,4194304,1,0,0,34,4,7,524288,0,1,RING,,0;1;2;3;5;6;7
DP_0_0_0_4_4194304,4,4194304,1,0,0,35,5,0,524288,0,1,RING,,0;1;2;3;4;6;7
DP_0_0_0_4_4194304,4,4194304,1,0,0,36,5,1,524288,0,1,RING,,0;1;2;3;4;6;7
DP_0_0_0_4_4194304,4,4194304,1,0,0,37,5,2,524288,0,1,RING,,0;1;2;3;4;6;7
DP_0_0_0_4_4194304,4,4194304,1,0,0,38,5,3,524288,0,1,RING,,0;1;2;3;4;6;7
